Year,Period,Trade Flow,Reporter,Partner,Commodity,Commodity Code,Trade Value (US$)
2014,201411,Exports,Belgium,Singapore,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,180500
2014,201411,Exports,Belgium,Madagascar,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,103355
2014,201411,Exports,Belgium,Kuwait,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,127795
2014,201411,Exports,Belgium,Algeria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,7437911
2014,201411,Exports,Belgium,"China, Hong Kong SAR",Milk and cream; concentrated or containing added sugar or other sweetening matter,402,159305
2014,201411,Exports,Belgium,Tunisia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1918
2014,201411,Exports,Belgium,Mauritania,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,164809
2014,201411,Exports,Belgium,Suriname,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,134316
2014,201411,Exports,Belgium,Bulgaria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,51514
2014,201411,Exports,Belgium,Guinea,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,222494
2014,201411,Exports,Belgium,South Africa,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,298614
2014,201411,Exports,Belgium,United Arab Emirates,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,217026
2014,201411,Exports,Belgium,Viet Nam,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,405885
2014,201411,Exports,Belgium,Rep. of Korea,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,379928
2014,201411,Exports,Belgium,Syria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1869103
2014,201411,Exports,Belgium,Ireland,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,15337
2014,201411,Exports,Belgium,Mauritius,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4579
2014,201411,Exports,Belgium,Ghana,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,1140488
2014,201411,Exports,Belgium,Togo,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,43865
2014,201411,Exports,Belgium,Côte d'Ivoire,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,32155
2014,201411,Exports,Belgium,Mali,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,169846
2014,201411,Exports,Belgium,Philippines,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,179097
2014,201411,Exports,Belgium,Nigeria,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,3428524
2014,201411,Exports,Belgium,Malaysia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,187710
2014,201411,Exports,Belgium,Rep. of Moldova,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,46489
2014,201411,Exports,Belgium,Slovakia,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,4848
2014,201411,Exports,Belgium,Curaçao,Milk and cream; concentrated or containing added sugar or other sweetening matter,402,44364
